date,Close
2014-07-21,81.93
2014-07-18,83.35
2014-07-17,83.63
2014-07-16,84.91
2014-07-15,83.58
2014-07-14,84.4
2014-07-11,83.35
2014-07-10,83.42
2014-07-09,85.5
2014-07-08,84.69
2014-07-07,86.07
2014-07-04,87.05
2014-07-03,87.14
2014-07-02,85.84
2014-07-01,85.36
2014-06-30,85.03
2014-06-27,84.64
2014-06-26,85.0
2014-06-25,86.02
2014-06-24,86.52
2014-06-23,86.78
2014-06-20,87.36
2014-06-19,87.03
2014-06-18,86.02
2014-06-17,86.11
2014-06-16,85.17
2014-06-13,85.5
2014-06-12,86.2
2014-06-11,85.71
2014-06-10,85.87
2014-06-09,86.1
2014-06-06,85.86
2014-06-05,85.43
2014-06-04,85.09
2014-06-03,84.86
2014-06-02,84.5
2014-05-30,84.47
2014-05-29,84.73
2014-05-28,84.81
2014-05-27,84.44
2014-05-26,83.77
2014-05-23,83.08
2014-05-22,83.0
2014-05-21,82.97
2014-05-20,82.43
2014-05-19,82.78
2014-05-16,82.33
2014-05-15,83.17
2014-05-14,83.69
2014-05-13,83.49
2014-05-12,83.5
2014-05-09,82.43
2014-05-08,82.39
2014-05-07,81.24
2014-05-06,80.21
2014-05-05,81.28
2014-05-02,84.01
2014-05-01,83.43
2014-04-30,83.43
2014-04-29,82.81
2014-04-28,81.44
2014-04-25,81.2
2014-04-24,82.07
2014-04-23,81.47
2014-04-22,81.61
2014-04-21,79.36
2014-04-18,79.36
2014-04-17,79.36
2014-04-16,78.07
2014-04-15,76.98
2014-04-14,78.21
2014-04-11,77.62
2014-04-10,79.31
2014-04-09,78.84
2014-04-08,79.25
2014-04-07,78.89
2014-04-04,80.77
2014-04-03,80.03
2014-04-02,80.37
2014-04-01,80.72
2014-03-31,80.68
2014-03-28,80.41
2014-03-27,79.2
2014-03-26,78.79
2014-03-25,77.85
2014-03-24,76.5
2014-03-21,78.0
2014-03-20,77.49
2014-03-19,78.19
2014-03-18,77.83
2014-03-17,77.82
2014-03-14,76.92
2014-03-13,75.86
2014-03-12,78.2
2014-03-11,79.73
2014-03-10,79.34
2014-03-07,79.69
2014-03-06,81.15
2014-03-05,81.17
2014-03-04,82.19
2014-03-03,79.97
2014-02-28,83.42
2014-02-27,82.0
2014-02-26,83.81
2014-02-25,83.08
2014-02-24,83.26
2014-02-21,82.17
2014-02-20,82.24
2014-02-19,82.75
2014-02-18,82.63
2014-02-17,82.2
2014-02-14,82.51
2014-02-13,81.26
2014-02-12,80.57
2014-02-11,80.04
2014-02-10,78.32
2014-02-07,78.82
2014-02-06,78.17
2014-02-05,76.65
2014-02-04,76.59
2014-02-03,77.99
2014-01-31,79.53
2014-01-30,79.73
2014-01-29,79.0
2014-01-28,79.13
2014-01-27,77.61
2014-01-24,77.81
2014-01-23,79.74
2014-01-22,80.22
2014-01-21,80.61
2014-01-20,79.86
2014-01-17,79.49
2014-01-16,78.99
2014-01-15,78.18
2014-01-14,77.57
2014-01-13,77.49
2014-01-10,77.4
2014-01-09,76.72
2014-01-08,78.0
2014-01-07,78.52
2014-01-06,76.42
2014-01-03,76.57
2014-01-02,76.38
2014-01-01,77.49
2013-12-31,77.49
2013-12-30,77.49
2013-12-27,77.95
2013-12-26,76.9
2013-12-25,76.9
2013-12-24,76.9
2013-12-23,76.9
2013-12-20,76.01
2013-12-19,75.25
2013-12-18,74.51
2013-12-17,74.25
2013-12-16,75.17
2013-12-13,73.65
2013-12-12,73.94
2013-12-11,74.36
2013-12-10,75.09
2013-12-09,75.62
2013-12-06,75.64
2013-12-05,74.96
2013-12-04,75.72
2013-12-03,77.26
2013-12-02,78.97
2013-11-29,78.6
2013-11-28,78.18
2013-11-27,78.0
2013-11-26,77.51
2013-11-25,77.69
2013-11-22,76.64
2013-11-21,76.75
2013-11-20,77.2
2013-11-19,77.53
2013-11-18,77.96
2013-11-15,78.0
2013-11-14,77.82
2013-11-13,76.26
2013-11-12,76.09
2013-11-11,75.87
2013-11-08,75.68
2013-11-07,76.17
2013-11-06,75.85
2013-11-05,75.83
2013-11-04,76.1
2013-11-01,76.58
2013-10-31,76.63
2013-10-30,75.83
2013-10-29,76.04
2013-10-28,75.69
2013-10-25,75.17
2013-10-24,74.19
2013-10-23,74.05
2013-10-22,73.97
2013-10-21,73.48
2013-10-18,73.51
2013-10-17,72.95
2013-10-16,73.11
2013-10-15,72.17
2013-10-14,71.45
2013-10-11,71.69
2013-10-10,71.57
2013-10-09,69.9
2013-10-08,70.05
2013-10-07,70.37
2013-10-04,70.76
2013-10-03,70.95
2013-10-02,71.54
2013-10-01,71.63
2013-09-30,70.9
2013-09-27,71.53
2013-09-26,72.09
2013-09-25,72.19
2013-09-24,72.35
2013-09-23,72.3
2013-09-20,71.99
2013-09-19,72.25
2013-09-18,72.16
2013-09-17,72.08
2013-09-16,72.34
2013-09-13,69.79
2013-09-12,69.82
2013-09-11,69.62
2013-09-10,69.39
2013-09-09,67.26
2013-09-06,66.85
2013-09-05,67.11
2013-09-04,67.87
2013-09-03,67.23
2013-09-02,67.6
2013-08-30,66.13
2013-08-29,66.75
2013-08-28,66.84
2013-08-27,68.1
2013-08-26,69.24
2013-08-23,69.03
2013-08-22,68.31
2013-08-21,67.04
2013-08-20,67.62
2013-08-19,67.98
2013-08-16,68.01
2013-08-15,67.79
2013-08-14,67.9
2013-08-13,67.93
2013-08-12,66.11
2013-08-09,64.79
2013-08-08,65.2
2013-08-07,65.02
2013-08-06,65.81
2013-08-05,66.66
2013-08-02,67.88
2013-08-01,67.59
2013-07-31,66.66
2013-07-30,67.44
2013-07-29,66.52
2013-07-26,65.87
2013-07-25,66.74
2013-07-24,69.86
2013-07-23,69.8
2013-07-22,70.17
2013-07-19,70.0
2013-07-18,70.68
2013-07-17,70.83
2013-07-16,70.09
2013-07-15,70.8
2013-07-12,70.46
2013-07-11,71.2
2013-07-10,69.95
2013-07-09,69.72
2013-07-08,69.1
2013-07-05,66.96
2013-07-04,69.04
2013-07-03,67.77
2013-07-02,68.25
2013-07-01,68.59
2013-06-28,68.63
2013-06-27,68.33
2013-06-26,69.72
2013-06-25,69.32
2013-06-24,68.42
2013-06-21,69.5
2013-06-20,70.93
2013-06-19,73.9
2013-06-18,74.36
2013-06-17,73.72
2013-06-14,72.81
2013-06-13,72.34
2013-06-12,72.87
2013-06-11,73.36
2013-06-10,73.9
2013-06-07,72.83
2013-06-06,71.58
2013-06-05,73.12
2013-06-04,75.1
2013-06-03,75.79
2013-05-31,75.23
2013-05-30,74.99
2013-05-29,74.7
2013-05-28,75.3
2013-05-27,74.22
2013-05-24,73.45
2013-05-23,74.26
2013-05-22,75.41
2013-05-21,75.35
2013-05-20,73.94
2013-05-17,74.42
2013-05-16,73.98
2013-05-15,73.58
2013-05-14,74.3
2013-05-13,73.99
2013-05-10,73.81
2013-05-09,74.06
2013-05-08,73.63
2013-05-07,73.76
2013-05-06,73.0
2013-05-03,73.34
2013-05-02,71.8
2013-05-01,70.92
2013-04-30,70.92
2013-04-29,70.73
2013-04-26,72.59
2013-04-25,70.0
2013-04-24,68.35
2013-04-23,67.66
2013-04-22,66.04
2013-04-19,65.63
2013-04-18,65.63
2013-04-17,65.55
2013-04-16,68.12
2013-04-15,68.63
2013-04-12,68.4
2013-04-11,69.31
2013-04-10,68.5
2013-04-09,66.91
2013-04-08,66.7
2013-04-05,66.87
2013-04-04,69.0
2013-04-03,69.3
2013-04-02,69.52
2013-04-01,68.32
2013-03-29,68.32
2013-03-28,68.32
2013-03-27,67.98
2013-03-26,69.62
2013-03-25,69.57
2013-03-22,70.8
2013-03-21,71.3
2013-03-20,73.54
2013-03-19,73.35
2013-03-18,74.32
2013-03-15,75.09
2013-03-14,75.32
2013-03-13,74.02
2013-03-12,73.36
2013-03-11,73.48
2013-03-08,73.28
2013-03-07,73.4
2013-03-06,73.48
2013-03-05,73.05
2013-03-04,71.57
2013-03-01,71.83
2013-02-28,72.18
2013-02-27,72.09
2013-02-26,71.66
2013-02-25,75.01
2013-02-22,74.32
2013-02-21,72.8
2013-02-20,74.12
2013-02-19,73.79
2013-02-18,71.45
2013-02-15,70.75
2013-02-14,71.32
2013-02-13,72.53
2013-02-12,71.51
2013-02-11,71.85
2013-02-08,72.08
2013-02-07,71.94
2013-02-06,72.09
2013-02-05,73.46
2013-02-04,73.14
2013-02-01,75.85
2013-01-31,74.66
2013-01-30,75.1
2013-01-29,75.81
2013-01-28,75.58
2013-01-25,75.6
2013-01-24,73.79
2013-01-23,72.86
2013-01-22,73.11
2013-01-21,73.81
2013-01-18,73.17
2013-01-17,73.2
2013-01-16,72.35
2013-01-15,71.86
2013-01-14,71.76
2013-01-11,71.0
2013-01-10,70.92
2013-01-09,71.41
2013-01-08,71.14
2013-01-07,71.64
2013-01-04,72.47
2013-01-03,72.35
2013-01-02,73.18
2013-01-01,71.15
2012-12-31,71.15
2012-12-28,71.15
2012-12-27,71.8
2012-12-26,71.17
2012-12-25,71.17
2012-12-24,71.17
2012-12-21,71.17
2012-12-20,72.3
2012-12-19,73.09
2012-12-18,72.77
2012-12-17,72.14
2012-12-14,72.04
2012-12-13,71.81
2012-12-12,71.55
2012-12-11,71.3
2012-12-10,70.61
2012-12-07,70.01
2012-12-06,70.33
2012-12-05,69.3
2012-12-04,68.95
2012-12-03,69.47
2012-11-30,68.9
2012-11-29,68.76
2012-11-28,68.11
2012-11-27,67.9
2012-11-26,67.39
2012-11-23,67.54
2012-11-22,66.58
2012-11-21,65.78
2012-11-20,65.8
2012-11-19,64.35
2012-11-16,62.5
2012-11-15,63.2
2012-11-14,63.63
2012-11-13,64.09
2012-11-12,63.06
2012-11-09,63.17
2012-11-08,63.42
2012-11-07,63.47
2012-11-06,64.87
2012-11-05,64.36
2012-11-02,65.09
2012-11-01,64.7
2012-10-31,63.93
2012-10-30,64.1
2012-10-29,63.57
2012-10-26,63.68
2012-10-25,63.18
2012-10-24,62.66
2012-10-23,62.5
2012-10-22,65.15
2012-10-19,65.87
2012-10-18,66.17
2012-10-17,65.5
2012-10-16,65.58
2012-10-15,64.9
2012-10-12,64.38
2012-10-11,64.95
